"Program ID","Severity","Stored Title","Fetched Title","Title Match","Stored Budget","Fetched Budget","Budget Match","URL Accessible","Error Message","Announcement URL"
"d3788083-2b2d-40a5-90be-992c7a9f598e","OK","(2025-DCP-25_반도체)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-25_반도체)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247379&flag=rndList"
"c7054cbb-776b-4998-a147-91a8102ad717","OK","(2025-DCP-26_이차전지)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-26_이차전지)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247380&flag=rndList"
"42784f00-625d-413f-9c23-e8de218510e4","OK","(2025-DCP-27_수소)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-27_수소)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247381&flag=rndList"
"947aec57-d83a-4d1d-bd89-0532010d22f9","OK","(2025-DCP-28_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-28_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247382&flag=rndList"
"997f2ec2-36a0-4eb5-a3f0-432f29a5ccd1","OK","(2025-DCP-29_첨단로봇·제조)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-29_첨단로봇·제조)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247383&flag=rndList"
"9846aa26-4bb9-48d3-8a76-d892cb597dd6","OK","(2025-DCP-30_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-30_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247384&flag=rndList"
"600564c3-2540-4554-913d-f0a660578479","OK","(2025-DCP-31_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-31_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247385&flag=rndList"
"b8007257-925f-4b04-b74c-1725156b9bc8","OK","(2025-DCP-32_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-32_첨단모빌리티)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247386&flag=rndList"
"5488dbc2-4377-4790-b8d8-862784fe57d1","OK","(2025-DCP-33_우주항공·해양)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-33_우주항공·해양)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247387&flag=rndList"
"bc743875-0add-4043-a17b-7af3d6331515","OK","(2025-DCP-34_차세대통신)딥테크 챌린지  프로젝트(DCP*))","(2025-DCP-34_차세대통신)딥테크 챌린지  프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247388&flag=rndList"
